,province,nowConfirm,confirm,dead,heal,deadRate,healRate
0,香港,129,5380,107,5144,1.99,95.61
1,上海,105,1255,7,1143,0.56,91.08
2,新疆,59,980,3,918,0.31,93.67
3,台湾,45,578,7,526,1.21,91.00
4,四川,43,773,3,727,0.39,94.05
5,陕西,41,478,3,434,0.63,90.79
6,广东,37,1949,8,1904,0.41,97.69
7,福建,36,456,1,419,0.22,91.89
8,内蒙古,32,305,1,272,0.33,89.18
9,浙江,10,1290,1,1279,0.08,99.15
10,天津,10,276,3,263,1.09,95.29
11,江苏,9,675,0,666,0.00,98.67
12,湖北,8,68147,4512,63627,6.62,93.37
13,北京,7,945,9,929,0.95,98.31
14,河北,6,373,6,361,1.61,96.78
15,河南,6,1286,22,1258,1.71,97.82
16,山西,5,218,0,213,0.00,97.71
17,辽宁,4,285,2,279,0.70,97.89
18,云南,4,214,2,208,0.93,97.20
19,重庆,3,589,6,580,1.02,98.47
20,山东,2,848,7,839,0.83,98.94
21,甘肃,2,180,2,176,1.11,97.78
22,黑龙江,1,949,13,935,1.37,98.52
23,湖南,1,1020,4,1015,0.39,99.51
24,澳门,0,46,0,46,0.00,100.00
25,贵州,0,147,2,145,1.36,98.64
26,吉林,0,157,2,155,1.27,98.73
27,广西,0,260,2,258,0.77,99.23
28,安徽,0,991,6,985,0.61,99.39
29,青海,0,18,0,18,0.00,100.00
30,江西,0,935,1,934,0.11,99.89
31,西藏,0,1,0,1,0.00,100.00
32,海南,0,171,6,165,3.51,96.49
33,宁夏,0,75,0,75,0.00,100.00
